,Entries,ticker,signal,Date
77,REDINGTON.NS 2020-11-06 00:00:00 118.3499984741211  Sell it,REDINGTON.NS,Sell,2020-11-06
78,"SHK.NS2020-11-05 00:00:00 89.6500015258789  Yes, buy it",SHK.NS,Buy,2020-11-05
79,"SHOPERSTOP.NS2020-11-04 00:00:00 177.0500030517578  Yes, buy it",SHOPERSTOP.NS,Buy,2020-11-04
80,"SHRIRAMCIT.NS2020-11-06 00:00:00 906.25  Yes, buy it",SHRIRAMCIT.NS,Buy,2020-11-06
81,"SPANDANA.NS2020-11-06 00:00:00 599.3499755859375  Yes, buy it",SPANDANA.NS,Buy,2020-11-06
82,SPICEJET.NS 2020-11-04 00:00:00 48.900001525878906  Sell it,SPICEJET.NS,Sell,2020-11-04
83,"SPICEJET.NS2020-11-06 00:00:00 50.650001525878906  Yes, buy it",SPICEJET.NS,Buy,2020-11-06
84,"SAIL.NS2020-11-05 00:00:00 38.25  Yes, buy it",SAIL.NS,Buy,2020-11-05
85,"SUNPHARMA.NS2020-11-06 00:00:00 509.1499938964844  Yes, buy it",SUNPHARMA.NS,Buy,2020-11-06
86,"TCIEXP.NS2020-11-06 00:00:00 799.75  Yes, buy it",TCIEXP.NS,Buy,2020-11-06
87,"TCNSBRANDS.NS2020-11-04 00:00:00 393.20001220703125  Yes, buy it",TCNSBRANDS.NS,Buy,2020-11-04
88,"TTKPRESTIG.NS2020-11-06 00:00:00 5999.7001953125  Yes, buy it",TTKPRESTIG.NS,Buy,2020-11-06
89,"TVTODAY.NS2020-11-06 00:00:00 209.89999389648438  Yes, buy it",TVTODAY.NS,Buy,2020-11-06
90,"TVSMOTOR.NS2020-11-04 00:00:00 470.95001220703125  Yes, buy it",TVSMOTOR.NS,Buy,2020-11-04
91,"TATACONSUM.NS2020-11-05 00:00:00 506.45001220703125  Yes, buy it",TATACONSUM.NS,Buy,2020-11-05
92,"TATAINVEST.NS2020-11-06 00:00:00 854.6500244140625  Yes, buy it",TATAINVEST.NS,Buy,2020-11-06
93,"TATAMOTORS.NS2020-11-05 00:00:00 137.64999389648438  Yes, buy it",TATAMOTORS.NS,Buy,2020-11-05
94,"TIMKEN.NS2020-11-05 00:00:00 1086.699951171875  Yes, buy it",TIMKEN.NS,Buy,2020-11-05
95,"TITAN.NS2020-11-05 00:00:00 1242.0999755859375  Yes, buy it",TITAN.NS,Buy,2020-11-05
96,"TORNTPOWER.NS2020-11-05 00:00:00 316.3999938964844  Yes, buy it",TORNTPOWER.NS,Buy,2020-11-05
97,TRIDENT.NS 2020-11-05 00:00:00 7.5  Sell it,TRIDENT.NS,Sell,2020-11-05
98,"TRITURBINE.NS2020-11-06 00:00:00 71.25  Yes, buy it",TRITURBINE.NS,Buy,2020-11-06
99,UFLEX.NS 2020-11-05 00:00:00 319.25  Sell it,UFLEX.NS,Sell,2020-11-05
100,"UJJIVAN.NS2020-11-05 00:00:00 218.5500030517578  Yes, buy it",UJJIVAN.NS,Buy,2020-11-05
101,"MCDOWELL-N.NS2020-11-06 00:00:00 544.2000122070312  Yes, buy it",MCDOWELL-N.NS,Buy,2020-11-06
102,"VMART.NS2020-11-06 00:00:00 1978.5  Yes, buy it",VMART.NS,Buy,2020-11-06
103,"VTL.NS2020-11-05 00:00:00 803.0  Yes, buy it",VTL.NS,Buy,2020-11-05
104,WELSPUNIND.NS 2020-11-06 00:00:00 65.0  Sell it,WELSPUNIND.NS,Sell,2020-11-06
105,ZYDUSWELL.NS 2020-11-04 00:00:00 1741.5999755859375  Sell it,ZYDUSWELL.NS,Sell,2020-11-04
